"district_code","district_name","p","q","aic_value","bic_value","time_secs","n_models_tested","intercept","sigmasq","betas_str","alphas_str","mean.Temp","mean.DTemp","PM25","mean.NO2","covariates_used_names","status","error_message"
1,"Aveiro",1,6,6101.42675860354,6166.41925068114,1315.56391811371,26,0.0377253344491715,0.0230280205860134,"0.24574","0.24261,0.11349,-0.08694,-0.1403,0.16444,0.44992",-0.00753125718504086,0.00742396230670752,0.00329775671925844,-0.00680963335258844,"mean.Temp.Lag5,mean.DTemp.Lag0,PM25.Lag0,mean.NO2.Lag2","Success",""
2,"Beja",1,1,3755.4094744845,3795.40485422456,591.248539924622,9,4.57663531475115e-08,0.0321373031527154,"0.06979","0.93021",-0.0296442358940763,0.0294657839721665,0.0102283963065093,-0.0429166685206349,"mean.Temp.Lag4,mean.DTemp.Lag4,PM25.Lag0,mean.NO2.Lag2","Success",""
3,"Braga",1,3,6884.00468504027,6933.99890971535,4696.60131597519,17,0.0271900608435825,0.0615790293839574,"0.217","0.08921,-0.03531,0.72129",-0.00393676923074602,0.00375514511426073,0.00604339077537671,-0.00433004764385849,"mean.Temp.Lag7,mean.DTemp.Lag4,PM25.Lag7,mean.NO2.Lag4","Success",""
4,"Bragança",1,2,4677.41881186085,4722.41361406842,2950.09983801842,14,1.54278315241911e-05,0.0421599961110508,"0.11947","0.09811,0.78241",-0.00628650331563187,0.00566640562915519,0.00525671052387597,0.00953371074542328,"mean.Temp.Lag7,mean.DTemp.Lag3,PM25.Lag7,mean.NO2.Lag4","Success",""
5,"CasteloBranco",1,1,4677.44557985811,4717.44095959817,1295.18355298042,9,2.12537361243847e-07,0.0398908193862783,"0.07662","0.92338",-0.0158207608737936,0.0156591559154181,0.0162954410436188,-0.0309783870962431,"mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag1,mean.NO2.Lag1","Success",""
6,"Coimbra",1,3,5697.8576899358,5747.85191461088,820.461053848267,17,0.000531779274769152,0.0482690571409621,"0.20934","-0.13374,0.20494,0.7193",-0.00973571944145632,0.00998736897545923,0.00256329253282803,-0.0181423269417091,"mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag6,mean.NO2.Lag2","Success",""
7,"Évora",1,0,4381.03003299762,4416.02599027018,1812.97196793556,7,14.1316353239173,0.064571896677695,"0.03951","",-0.0472900971973482,0.00266027132156988,0.0105285068553798,-0.0659034828121219,"mean.Temp.Lag4,mean.DTemp.Lag4,PM25.Lag2,mean.NO2.Lag1","Success",""
8,"Faro",1,1,4947.80630330443,4987.80168304449,687.821107149124,9,8.01994032136006e-08,0.0347278594956964,"0.08428","0.91572",-0.0148404989988277,0.0146444803970873,0.0095666523722682,-0.0123021804276335,"mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag0,mean.NO2.Lag2","Success",""
9,"Guarda",1,3,4648.76865763955,4698.76288231463,4572.85019683838,17,0.0172888542895878,0.0435902508732612,"0.14447","-0.002,0.14088,0.70889",-0.0197410644911316,0.0193120314443826,0.0124768225430918,-0.0141197895527232,"mean.Temp.Lag6,mean.DTemp.Lag5,PM25.Lag0,mean.NO2.Lag2","Success",""
10,"Leiria",1,2,6269.30285199879,6314.29765420636,433.541120052338,14,0.00150895401424824,0.0774459595733704,"0.13426","0.27399,0.59126",-0.0126566812252121,0.0127682896297852,0.00326635638318722,-0.00749224885971483,"mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag6,mean.NO2.Lag2","Success",""
11,"Lisboa",5,6,7911.59065048229,7996.58083242993,404.415416955948,32,0.00340961910542486,0.0221849104169248,"0.23357,-0.25702,0.36332,-0.26799,0.24196","0.9985,-0.96654,0.60779,-0.25835,-0.2632,0.56717",0.000177605516604949,-0.000319380541275233,-0.000824144519339444,0.00325923769713838,"mean.Temp.Lag6,mean.DTemp.Lag6,PM25.Lag6,mean.NO2.Lag2","Success",""
12,"Portalegre",2,1,3740.3134161106,3785.30821831818,322.145972013474,12,3.16345441586496e-05,0.0424946840177904,"0.12951,-0.08466","0.95513",-0.027941008053227,0.0276823996451589,0.012325650994432,-0.0420006784636255,"mean.Temp.Lag6,mean.DTemp.Lag7,PM25.Lag6,mean.NO2.Lag4","Success",""
13,"Porto",1,6,7161.58220566092,7226.57469773852,4065.93811893463,27,0.0274823265498994,0.0264835544277551,"0.2405","0.38462,-0.06532,0.02666,-0.2039,0.04437,0.5663",-0.00426872269176258,0.00397714685710117,0.00118403691489446,0.00281959390194078,"mean.Temp.Lag6,mean.DTemp.Lag3,PM25.Lag6,mean.NO2.Lag2","Success",""
14,"Santarém",1,2,6008.84932696489,6053.84412917246,904.274162054062,14,0.000189434215812745,0.0337105785516275,"0.14486","0.26215,0.59294",-0.00788097427416236,0.00793590090407056,0.00213851983608423,-0.0070900466749638,"mean.Temp.Lag6,mean.DTemp.Lag6,PM25.Lag5,mean.NO2.Lag2","Success",""
15,"Setúbal",1,3,6387.43763636655,6437.43186104163,1274.16810417175,17,4.10471210629458e-06,0.055676131991321,"0.23049","0.08075,0.10183,0.58692",-0.00650533641325063,0.00678027710276505,0.00052178304907544,-0.0128512722822238,"mean.Temp.Lag6,mean.DTemp.Lag6,PM25.Lag5,mean.NO2.Lag2","Success",""
16,"VianadoCastelo",1,1,4597.07252481231,4637.06790455238,910.115354061127,9,1.26767415624268e-09,0.0322948634589782,"0.09301","0.90699",-0.0113281621144677,0.0109521081273159,0.00475562827943295,-0.005955118584431,"mean.Temp.Lag5,mean.DTemp.Lag2,PM25.Lag5,mean.NO2.Lag3","Success",""
17,"VilaReal",1,1,5388.88811966141,5428.88349940147,1389.05977702141,9,0.0277732732645131,0.0507529575551549,"0.09655","0.89291",-0.00634729393050129,0.00552201828795925,0.00113780757218403,0.031477502592173,"mean.Temp.Lag6,mean.DTemp.Lag2,PM25.Lag5,mean.NO2.Lag6","Success",""
18,"Viseu",1,3,5593.37933992712,5643.3735646022,723.516680955887,17,3.70718499779391e-05,0.0249820184844374,"0.218","0.31908,0.12884,0.33406",-0.00382049126134724,0.00397685479832968,0.00075780224621599,-0.0255807388029052,"mean.Temp.Lag6,mean.DTemp.Lag2,PM25.Lag4,mean.NO2.Lag2","Success",""
